Tube.ID,Date,Run,Well,Sample.Type,Concentration,Sample.ID,Treatment,Fraction,Homo_vol
S1,20220406,Initial,B5,Standard,0.00901,NA,NA,NA,NA
S2,20220406,Initial,C5,Standard,0.01802,NA,NA,NA,NA
S3,20220406,Initial,D5,Standard,0.02703,NA,NA,NA,NA
S4,20220406,Initial,E5,Standard,0.03604,NA,NA,NA,NA
S5,20220406,Initial,F5,Standard,0.05406,NA,NA,NA,NA
S6,20220406,Initial,G5,Standard,0.0901,NA,NA,NA,NA
S7,20220406,Initial,H5,Standard,0.1802,NA,NA,NA,NA
BLANK,20220406,Initial,A6,Blank,0,NA,NA,NA,NA
S1,20220406,Initial,B6,Standard,0.00901,NA,NA,NA,NA
S2,20220406,Initial,C6,Standard,0.01802,NA,NA,NA,NA
S3,20220406,Initial,D6,Standard,0.02703,NA,NA,NA,NA
S4,20220406,Initial,E6,Standard,0.03604,NA,NA,NA,NA
S5,20220406,Initial,F6,Standard,0.05406,NA,NA,NA,NA
S6,20220406,Initial,G6,Standard,0.0901,NA,NA,NA,NA
S7,20220406,Initial,H6,Standard,0.1802,NA,NA,NA,NA
S8,20220406,Initial,A7,Standard,0.3604,NA,NA,NA,NA
S9,20220406,Initial,B7,Standard,0.901,NA,NA,NA,NA
B2-Host-25,20220406,Initial,C7,Sample,NA,B2,Ambient,Host,25
B2-Holo-25,20220406,Initial,D7,Sample,NA,B2,Ambient,Holobiont,25
B13-Host-25,20220406,Initial,E7,Sample,NA,B13,High,Host,25
B13-Holo-25,20220406,Initial,F7,Sample,NA,B13,High,Holobiont,25
B14-Host-25,20220406,Initial,G7,Sample,NA,B14,High,Host,25
B14-Holo-25,20220406,Initial,H7,Sample,NA,B14,High,Holobiont,25
S8,20220406,Initial,A8,Standard,0.3604,NA,NA,NA,NA
S9,20220406,Initial,B8,Standard,0.901,NA,NA,NA,NA
B2-Host-25,20220406,Initial,C8,Sample,NA,B2,Ambient,Host,25
B2-Holo-25,20220406,Initial,D8,Sample,NA,B2,Ambient,Holobiont,25
B13-Host-25,20220406,Initial,E8,Sample,NA,B13,High,Host,25
B13-Holo-25,20220406,Initial,F8,Sample,NA,B13,High,Holobiont,25
B14-Host-25,20220406,Initial,G8,Sample,NA,B14,High,Host,25
B14-Holo-25,20220406,Initial,H8,Sample,NA,B14,High,Holobiont,25
S8,20220406,Initial,A9,Standard,0.3604,NA,NA,NA,NA
S9,20220406,Initial,B9,Standard,0.901,NA,NA,NA,NA
B2-Host-25,20220406,Initial,C9,Sample,NA,B2,Ambient,Host,25
B2-Holo-25,20220406,Initial,D9,Sample,NA,B2,Ambient,Holobiont,25
B13-Host-25,20220406,Initial,E9,Sample,NA,B13,High,Host,25
B13-Holo-25,20220406,Initial,F9,Sample,NA,B13,High,Holobiont,25
B14-Host-25,20220406,Initial,G9,Sample,NA,B14,High,Host,25
B14-Holo-25,20220406,Initial,H9,Sample,NA,B14,High,Holobiont,25
NA,NA,Initial,A10,NA,NA,NA,NA,NA,NA
NA,NA,Initial,B10,NA,NA,NA,NA,NA,NA
NA,NA,Initial,C10,NA,NA,NA,NA,NA,NA
NA,NA,Initial,D10,NA,NA,NA,NA,NA,NA
NA,NA,Initial,E10,NA,NA,NA,NA,NA,NA
NA,NA,Initial,F10,NA,NA,NA,NA,NA,NA
NA,NA,Initial,G10,NA,NA,NA,NA,NA,NA
NA,NA,Initial,H10,NA,NA,NA,NA,NA,NA
NA,NA,Initial,A11,NA,NA,NA,NA,NA,NA
NA,NA,Initial,B11,NA,NA,NA,NA,NA,NA
NA,NA,Initial,C11,NA,NA,NA,NA,NA,NA
NA,NA,Initial,D11,NA,NA,NA,NA,NA,NA
NA,NA,Initial,E11,NA,NA,NA,NA,NA,NA
NA,NA,Initial,F11,NA,NA,NA,NA,NA,NA
NA,NA,Initial,G11,NA,NA,NA,NA,NA,NA
NA,NA,Initial,H11,NA,NA,NA,NA,NA,NA
NA,NA,Initial,A12,NA,NA,NA,NA,NA,NA
NA,NA,Initial,B12,NA,NA,NA,NA,NA,NA
NA,NA,Initial,C12,NA,NA,NA,NA,NA,NA
NA,NA,Initial,D12,NA,NA,NA,NA,NA,NA
NA,NA,Initial,E12,NA,NA,NA,NA,NA,NA
NA,NA,Initial,F12,NA,NA,NA,NA,NA,NA
NA,NA,Initial,G12,NA,NA,NA,NA,NA,NA
NA,NA,Initial,H12,NA,NA,NA,NA,NA,NA
BLANK,20220406,1,A1,Blank,0,NA,NA,NA,NA
S1,20220406,1,B1,Standard,0.00901,NA,NA,NA,NA
S2,20220406,1,C1,Standard,0.01802,NA,NA,NA,NA
S3,20220406,1,D1,Standard,0.02703,NA,NA,NA,NA
S4,20220406,1,E1,Standard,0.03604,NA,NA,NA,NA
S5,20220406,1,F1,Standard,0.05406,NA,NA,NA,NA
S6,20220406,1,G1,Standard,0.0901,NA,NA,NA,NA
S7,20220406,1,H1,Standard,0.1802,NA,NA,NA,NA
BLANK,20220406,1,A2,Blank,0,NA,NA,NA,NA
S1,20220406,1,B2,Standard,0.00901,NA,NA,NA,NA
S2,20220406,1,C2,Standard,0.01802,NA,NA,NA,NA
S3,20220406,1,D2,Standard,0.02703,NA,NA,NA,NA
S4,20220406,1,E2,Standard,0.03604,NA,NA,NA,NA
S5,20220406,1,F2,Standard,0.05406,NA,NA,NA,NA
S6,20220406,1,G2,Standard,0.0901,NA,NA,NA,NA
S7,20220406,1,H2,Standard,0.1802,NA,NA,NA,NA
BLANK,20220406,1,A3,Blank,0,NA,NA,NA,NA
S1,20220406,1,B3,Standard,0.00901,NA,NA,NA,NA
S2,20220406,1,C3,Standard,0.01802,NA,NA,NA,NA
S3,20220406,1,D3,Standard,0.02703,NA,NA,NA,NA
S4,20220406,1,E3,Standard,0.03604,NA,NA,NA,NA
S5,20220406,1,F3,Standard,0.05406,NA,NA,NA,NA
S6,20220406,1,G3,Standard,0.0901,NA,NA,NA,NA
S7,20220406,1,H3,Standard,0.1802,NA,NA,NA,NA
S8,20220406,1,A4,Standard,0.3604,NA,NA,NA,NA
S9,20220406,1,B4,Standard,0.901,NA,NA,NA,NA
A-Host,20220406,1,C4,Sample,NA,A,Ambient,Host,25
A-Holo,20220406,1,D4,Sample,NA,A,Ambient,Holobiont,25
B-Host,20220406,1,E4,Sample,NA,B,Ambient,Host,25
B-Holo,20220406,1,F4,Sample,NA,B,Ambient,Holobiont,25
C-Host,20220406,1,G4,Sample,NA,C,Ambient,Host,25
C-Holo,20220406,1,H4,Sample,NA,C,Ambient,Holobiont,25
S8,20220406,1,A5,Standard,0.3604,NA,NA,NA,NA
S9,20220406,1,B5,Standard,0.901,NA,NA,NA,NA
A-Host,20220406,1,C5,Sample,NA,A,Ambient,Host,25
A-Holo,20220406,1,D5,Sample,NA,A,Ambient,Holobiont,25
B-Host,20220406,1,E5,Sample,NA,B,Ambient,Host,25
B-Holo,20220406,1,F5,Sample,NA,B,Ambient,Holobiont,25
C-Host,20220406,1,G5,Sample,NA,C,Ambient,Host,25
C-Holo,20220406,1,H5,Sample,NA,C,Ambient,Holobiont,25
S8,20220406,1,A6,Standard,0.3604,NA,NA,NA,NA
S9,20220406,1,B6,Standard,0.901,NA,NA,NA,NA
A-Host,20220406,1,C6,Sample,NA,A,Ambient,Host,25
A-Holo,20220406,1,D6,Sample,NA,A,Ambient,Holobiont,25
B-Host,20220406,1,E6,Sample,NA,B,Ambient,Host,25
B-Holo,20220406,1,F6,Sample,NA,B,Ambient,Holobiont,25
C-Host,20220406,1,G6,Sample,NA,C,Ambient,Host,25
C-Holo,20220406,1,H6,Sample,NA,C,Ambient,Holobiont,25
D-Host,20220406,1,A7,Sample,NA,D,Ambient,Host,25
D-Holo,20220406,1,B7,Sample,NA,D,Ambient,Holobiont,25
E-Host,20220406,1,C7,Sample,NA,E,Ambient,Host,25
E-Holo,20220406,1,D7,Sample,NA,E,Ambient,Holobiont,25
F-Host,20220406,1,E7,Sample,NA,F,Ambient,Host,25
F-Holo,20220406,1,F7,Sample,NA,F,Ambient,Holobiont,25
G-Host,20220406,1,G7,Sample,NA,G,Ambient,Host,25
G-Holo,20220406,1,H7,Sample,NA,G,Ambient,Holobiont,25
D-Host,20220406,1,A8,Sample,NA,D,Ambient,Host,25
D-Holo,20220406,1,B8,Sample,NA,D,Ambient,Holobiont,25
E-Host,20220406,1,C8,Sample,NA,E,Ambient,Host,25
E-Holo,20220406,1,D8,Sample,NA,E,Ambient,Holobiont,25
F-Host,20220406,1,E8,Sample,NA,F,Ambient,Host,25
F-Holo,20220406,1,F8,Sample,NA,F,Ambient,Holobiont,25
G-Host,20220406,1,G8,Sample,NA,G,Ambient,Host,25
G-Holo,20220406,1,H8,Sample,NA,G,Ambient,Holobiont,25
D-Host,20220406,1,A9,Sample,NA,D,Ambient,Host,25
D-Holo,20220406,1,B9,Sample,NA,D,Ambient,Holobiont,25
E-Host,20220406,1,C9,Sample,NA,E,Ambient,Host,25
E-Holo,20220406,1,D9,Sample,NA,E,Ambient,Holobiont,25
F-Host,20220406,1,E9,Sample,NA,F,Ambient,Host,25
F-Holo,20220406,1,F9,Sample,NA,F,Ambient,Holobiont,25
G-Host,20220406,1,G9,Sample,NA,G,Ambient,Host,25
G-Holo,20220406,1,H9,Sample,NA,G,Ambient,Holobiont,25
H-Host,20220406,1,A10,Sample,NA,H,Ambient,Host,25
H-Holo,20220406,1,B10,Sample,NA,H,Ambient,Holobiont,25
I-Host,20220406,1,C10,Sample,NA,I,Ambient,Host,25
T-Holo,20220406,1,D10,Sample,NA,T,High,Holobiont,25
J-Host,20220406,1,E10,Sample,NA,J,Ambient,Host,25
J-Holo,20220406,1,F10,Sample,NA,J,Ambient,Holobiont,25
K-Host,20220406,1,G10,Sample,NA,K,Ambient,Host,25
K-Holo,20220406,1,H10,Sample,NA,K,Ambient,Holobiont,25
H-Host,20220406,1,A11,Sample,NA,H,Ambient,Host,25
H-Holo,20220406,1,B11,Sample,NA,H,Ambient,Holobiont,25
I-Host,20220406,1,C11,Sample,NA,I,Ambient,Host,25
T-Holo,20220406,1,D11,Sample,NA,T,High,Holobiont,25
J-Host,20220406,1,E11,Sample,NA,J,Ambient,Host,25
J-Holo,20220406,1,F11,Sample,NA,J,Ambient,Holobiont,25
K-Host,20220406,1,G11,Sample,NA,K,Ambient,Host,25
K-Holo,20220406,1,H11,Sample,NA,K,Ambient,Holobiont,25
H-Host,20220406,1,A12,Sample,NA,H,Ambient,Host,25
H-Holo,20220406,1,B12,Sample,NA,H,Ambient,Holobiont,25
I-Host,20220406,1,C12,Sample,NA,I,Ambient,Host,25
T-Holo,20220406,1,D12,Sample,NA,T,High,Holobiont,25
J-Host,20220406,1,E12,Sample,NA,J,Ambient,Host,25
J-Holo,20220406,1,F12,Sample,NA,J,Ambient,Holobiont,25
K-Host,20220406,1,G12,Sample,NA,K,Ambient,Host,25
K-Holo,20220406,1,H12,Sample,NA,K,Ambient,Holobiont,25
BLANK,20220406,2,A1,Blank,0,NA,NA,NA,NA
S1,20220406,2,B1,Standard,0.00901,NA,NA,NA,NA
S2,20220406,2,C1,Standard,0.01802,NA,NA,NA,NA
S3,20220406,2,D1,Standard,0.02703,NA,NA,NA,NA
S4,20220406,2,E1,Standard,0.03604,NA,NA,NA,NA
S5,20220406,2,F1,Standard,0.05406,NA,NA,NA,NA
S6,20220406,2,G1,Standard,0.0901,NA,NA,NA,NA
S7,20220406,2,H1,Standard,0.1802,NA,NA,NA,NA
BLANK,20220406,2,A2,Blank,0,NA,NA,NA,NA
S1,20220406,2,B2,Standard,0.00901,NA,NA,NA,NA
S2,20220406,2,C2,Standard,0.01802,NA,NA,NA,NA
S3,20220406,2,D2,Standard,0.02703,NA,NA,NA,NA
S4,20220406,2,E2,Standard,0.03604,NA,NA,NA,NA
S6,20220406,2,F2,Standard,0.0901,NA,NA,NA,NA
S5,20220406,2,G2,Standard,0.05406,NA,NA,NA,NA
S7,20220406,2,H2,Standard,0.1802,NA,NA,NA,NA
BLANK,20220406,2,A3,Blank,0,NA,NA,NA,NA
S1,20220406,2,B3,Standard,0.00901,NA,NA,NA,NA
S2,20220406,2,C3,Standard,0.01802,NA,NA,NA,NA
S3,20220406,2,D3,Standard,0.02703,NA,NA,NA,NA
S4,20220406,2,E3,Standard,0.03604,NA,NA,NA,NA
S6,20220406,2,F3,Standard,0.0901,NA,NA,NA,NA
S5,20220406,2,G3,Standard,0.05406,NA,NA,NA,NA
S7,20220406,2,H3,Standard,0.1802,NA,NA,NA,NA
S8,20220406,2,A4,Standard,0.3604,NA,NA,NA,NA
S9,20220406,2,B4,Standard,0.901,NA,NA,NA,NA
L-Host,20220406,2,C4,Sample,NA,L,Ambient,Host,25
L-Holo,20220406,2,D4,Sample,NA,L,Ambient,Holobiont,25
M-Host,20220406,2,E4,Sample,NA,M,High,Host,25
M-Holo,20220406,2,F4,Sample,NA,M,High,Holobiont,25
N-Host,20220406,2,G4,Sample,NA,N,High,Host,25
N-Holo,20220406,2,H4,Sample,NA,N,High,Holobiont,25
S8,20220406,2,A5,Standard,0.3604,NA,NA,NA,NA
S9,20220406,2,B5,Standard,0.901,NA,NA,NA,NA
L-Host,20220406,2,C5,Sample,NA,L,Ambient,Host,25
L-Holo,20220406,2,D5,Sample,NA,L,Ambient,Holobiont,25
M-Host,20220406,2,E5,Sample,NA,M,High,Host,25
M-Holo,20220406,2,F5,Sample,NA,M,High,Holobiont,25
N-Host,20220406,2,G5,Sample,NA,N,High,Host,25
N-Holo,20220406,2,H5,Sample,NA,N,High,Holobiont,25
S8,20220406,2,A6,Standard,0.3604,NA,NA,NA,NA
S9,20220406,2,B6,Standard,0.901,NA,NA,NA,NA
L-Host,20220406,2,C6,Sample,NA,L,Ambient,Host,25
L-Holo,20220406,2,D6,Sample,NA,L,Ambient,Holobiont,25
M-Host,20220406,2,E6,Sample,NA,M,High,Host,25
M-Holo,20220406,2,F6,Sample,NA,M,High,Holobiont,25
N-Host,20220406,2,G6,Sample,NA,N,High,Host,25
N-Holo,20220406,2,H6,Sample,NA,N,High,Holobiont,25
O-Host,20220406,2,A7,Sample,NA,O,High,Host,25
O-Holo,20220406,2,B7,Sample,NA,O,High,Holobiont,25
P-Host,20220406,2,C7,Sample,NA,P,High,Host,25
P-Holo,20220406,2,D7,Sample,NA,P,High,Holobiont,25
Q-Host,20220406,2,E7,Sample,NA,Q,High,Host,25
Q-Holo,20220406,2,F7,Sample,NA,Q,High,Holobiont,25
R-Host,20220406,2,G7,Sample,NA,R,High,Host,25
R-Holo,20220406,2,H7,Sample,NA,R,High,Holobiont,25
O-Host,20220406,2,A8,Sample,NA,O,High,Host,25
O-Holo,20220406,2,B8,Sample,NA,O,High,Holobiont,25
P-Host,20220406,2,C8,Sample,NA,P,High,Host,25
P-Holo,20220406,2,D8,Sample,NA,P,High,Holobiont,25
Q-Host,20220406,2,E8,Sample,NA,Q,High,Host,25
Q-Holo,20220406,2,F8,Sample,NA,Q,High,Holobiont,25
R-Host,20220406,2,G8,Sample,NA,R,High,Host,25
R-Holo,20220406,2,H8,Sample,NA,R,High,Holobiont,25
O-Host,20220406,2,A9,Sample,NA,O,High,Host,25
O-Holo,20220406,2,B9,Sample,NA,O,High,Holobiont,25
P-Host,20220406,2,C9,Sample,NA,P,High,Host,25
P-Holo,20220406,2,D9,Sample,NA,P,High,Holobiont,25
Q-Host,20220406,2,E9,Sample,NA,Q,High,Host,25
Q-Holo,20220406,2,F9,Sample,NA,Q,High,Holobiont,25
R-Host,20220406,2,G9,Sample,NA,R,High,Host,25
R-Holo,20220406,2,H9,Sample,NA,R,High,Holobiont,25
S-Host,20220406,2,A10,Sample,NA,S,High,Host,25
S-Holo,20220406,2,B10,Sample,NA,S,High,Holobiont,25
T-Host,20220406,2,C10,Sample,NA,T,High,Host,25
I-Holo,20220406,2,D10,Sample,NA,I,Ambient,Holobiont,25
U-Host,20220406,2,E10,Sample,NA,U,High,Host,25
U-Holo,20220406,2,F10,Sample,NA,U,High,Holobiont,25
V-Host,20220406,2,G10,Sample,NA,V,High,Host,25
V-Holo,20220406,2,H10,Sample,NA,V,High,Holobiont,25
S-Host,20220406,2,A11,Sample,NA,S,High,Host,25
S-Holo,20220406,2,B11,Sample,NA,S,High,Holobiont,25
T-Host,20220406,2,C11,Sample,NA,T,High,Host,25
I-Holo,20220406,2,D11,Sample,NA,I,Ambient,Holobiont,25
U-Host,20220406,2,E11,Sample,NA,U,High,Host,25
U-Holo,20220406,2,F11,Sample,NA,U,High,Holobiont,25
V-Host,20220406,2,G11,Sample,NA,V,High,Host,25
V-Holo,20220406,2,H11,Sample,NA,V,High,Holobiont,25
S-Host,20220406,2,A12,Sample,NA,S,High,Host,25
S-Holo,20220406,2,B12,Sample,NA,S,High,Holobiont,25
T-Host,20220406,2,C12,Sample,NA,T,High,Host,25
I-Holo,20220406,2,D12,Sample,NA,I,Ambient,Holobiont,25
U-Host,20220406,2,E12,Sample,NA,U,High,Host,25
U-Holo,20220406,2,F12,Sample,NA,U,High,Holobiont,25
V-Host,20220406,2,G12,Sample,NA,V,High,Host,25
V-Holo,20220406,2,H12,Sample,NA,V,High,Holobiont,25
BLANK,20220406,3,A1,Blank,0,NA,NA,NA,NA
S1,20220406,3,B1,Standard,0.00901,NA,NA,NA,NA
S2,20220406,3,C1,Standard,0.01802,NA,NA,NA,NA
S3,20220406,3,D1,Standard,0.02703,NA,NA,NA,NA
S4,20220406,3,E1,Standard,0.03604,NA,NA,NA,NA
S5,20220406,3,F1,Standard,0.05406,NA,NA,NA,NA
S6,20220406,3,G1,Standard,0.0901,NA,NA,NA,NA
S7,20220406,3,H1,Standard,0.1802,NA,NA,NA,NA
BLANK,20220406,3,A2,Blank,0,NA,NA,NA,NA
S1,20220406,3,B2,Standard,0.00901,NA,NA,NA,NA
S2,20220406,3,C2,Standard,0.01802,NA,NA,NA,NA
S3,20220406,3,D2,Standard,0.02703,NA,NA,NA,NA
S4,20220406,3,E2,Standard,0.03604,NA,NA,NA,NA
S5,20220406,3,F2,Standard,0.05406,NA,NA,NA,NA
S6,20220406,3,G2,Standard,0.0901,NA,NA,NA,NA
S7,20220406,3,H2,Standard,0.1802,NA,NA,NA,NA
BLANK,20220406,3,A3,Blank,0,NA,NA,NA,NA
S1,20220406,3,B3,Standard,0.00901,NA,NA,NA,NA
S2,20220406,3,C3,Standard,0.01802,NA,NA,NA,NA
S3,20220406,3,D3,Standard,0.02703,NA,NA,NA,NA
S4,20220406,3,E3,Standard,0.03604,NA,NA,NA,NA
S5,20220406,3,F3,Standard,0.05406,NA,NA,NA,NA
S6,20220406,3,G3,Standard,0.0901,NA,NA,NA,NA
S7,20220406,3,H3,Standard,0.1802,NA,NA,NA,NA
S8,20220406,3,A4,Standard,0.3604,NA,NA,NA,NA
S9,20220406,3,B4,Standard,0.901,NA,NA,NA,NA
FLD-0031,20220406,3,C4,Sample,NA,FLD-0031,Astrangia,Host,100
AST-1109,20220406,3,D4,Sample,NA,AST-1109,Astrangia,Host,100
AST-1138,20220406,3,E4,Sample,NA,AST-1138,Astrangia,Host,100
AST-1152,20220406,3,F4,Sample,NA,AST-1152,Astrangia,Host,100
W-Host,20220406,3,G4,Sample,NA,W,High,Host,25
W-Holo,20220406,3,H4,Sample,NA,W,High,Holobiont,25
S8,20220406,3,A5,Standard,0.3604,NA,NA,NA,NA
S9,20220406,3,B5,Standard,0.901,NA,NA,NA,NA
FLD-0031,20220406,3,C5,Sample,NA,FLD-0031,Astrangia,Host,100
AST-1109,20220406,3,D5,Sample,NA,AST-1109,Astrangia,Host,100
AST-1138,20220406,3,E5,Sample,NA,AST-1138,Astrangia,Host,100
AST-1152,20220406,3,F5,Sample,NA,AST-1152,Astrangia,Host,100
W-Host,20220406,3,G5,Sample,NA,W,High,Host,25
W-Holo,20220406,3,H5,Sample,NA,W,High,Holobiont,25
S8,20220406,3,A6,Standard,0.3604,NA,NA,NA,NA
S9,20220406,3,B6,Standard,0.901,NA,NA,NA,NA
FLD-0031,20220406,3,C6,Sample,NA,FLD-0031,Astrangia,Host,100
AST-1109,20220406,3,D6,Sample,NA,AST-1109,Astrangia,Host,100
AST-1138,20220406,3,E6,Sample,NA,AST-1138,Astrangia,Host,100
AST-1152,20220406,3,F6,Sample,NA,AST-1152,Astrangia,Host,100
W-Host,20220406,3,G6,Sample,NA,W,High,Host,25
W-Holo,20220406,3,H6,Sample,NA,W,High,Holobiont,25
X-Host,20220406,3,A7,Sample,NA,X,High,Host,25
X-Holo,20220406,3,B7,Sample,NA,X,High,Holobiont,25
NA,20220406,3,C7,NA,NA,NA,NA,NA,NA
NA,20220406,3,D7,NA,NA,NA,NA,NA,NA
NA,20220406,3,E7,NA,NA,NA,NA,NA,NA
NA,20220406,3,F7,NA,NA,NA,NA,NA,NA
NA,20220406,3,G7,NA,NA,NA,NA,NA,NA
NA,20220406,3,H7,NA,NA,NA,NA,NA,NA
X-Host,20220406,3,A8,Sample,NA,X,High,Host,25
X-Holo,20220406,3,B8,Sample,NA,X,High,Holobiont,25
NA,20220406,3,C8,NA,NA,NA,NA,NA,NA
NA,20220406,3,D8,NA,NA,NA,NA,NA,NA
NA,20220406,3,E8,NA,NA,NA,NA,NA,NA
NA,20220406,3,F8,NA,NA,NA,NA,NA,NA
NA,20220406,3,G8,NA,NA,NA,NA,NA,NA
NA,20220406,3,H8,NA,NA,NA,NA,NA,NA
X-Host,20220406,3,A9,Sample,NA,X,High,Host,25
X-Holo,20220406,3,B9,Sample,NA,X,High,Holobiont,25
NA,20220406,3,C9,NA,NA,NA,NA,NA,NA
NA,20220406,3,D9,NA,NA,NA,NA,NA,NA
NA,20220406,3,E9,NA,NA,NA,NA,NA,NA
NA,20220406,3,F9,NA,NA,NA,NA,NA,NA
NA,20220406,3,G9,NA,NA,NA,NA,NA,NA
NA,20220406,3,H9,NA,NA,NA,NA,NA,NA
NA,20220406,3,A10,NA,NA,NA,NA,NA,NA
NA,20220406,3,B10,NA,NA,NA,NA,NA,NA
NA,20220406,3,C10,NA,NA,NA,NA,NA,NA
NA,20220406,3,D10,NA,NA,NA,NA,NA,NA
NA,20220406,3,E10,NA,NA,NA,NA,NA,NA
NA,20220406,3,F10,NA,NA,NA,NA,NA,NA
NA,20220406,3,G10,NA,NA,NA,NA,NA,NA
NA,20220406,3,H10,NA,NA,NA,NA,NA,NA
NA,20220406,3,A11,NA,NA,NA,NA,NA,NA
NA,20220406,3,B11,NA,NA,NA,NA,NA,NA
NA,20220406,3,C11,NA,NA,NA,NA,NA,NA
NA,20220406,3,D11,NA,NA,NA,NA,NA,NA
NA,20220406,3,E11,NA,NA,NA,NA,NA,NA
NA,20220406,3,F11,NA,NA,NA,NA,NA,NA
NA,20220406,3,G11,NA,NA,NA,NA,NA,NA
NA,20220406,3,H11,NA,NA,NA,NA,NA,NA
NA,20220406,3,A12,NA,NA,NA,NA,NA,NA
NA,20220406,3,B12,NA,NA,NA,NA,NA,NA
NA,20220406,3,C12,NA,NA,NA,NA,NA,NA
NA,20220406,3,D12,NA,NA,NA,NA,NA,NA
NA,20220406,3,E12,NA,NA,NA,NA,NA,NA
NA,20220406,3,F12,NA,NA,NA,NA,NA,NA
NA,20220406,3,G12,NA,NA,NA,NA,NA,NA
NA,20220406,3,H12,NA,NA,NA,NA,NA,NA
