Date,DateTime,Time,Treatment,Tank,LarvaeStart,Settled
20210622,2021-06-22T10:00:00Z,1215,Ambient,A5b,100,1
20210622,2021-06-22T10:00:00Z,1215,Ambient,A6a,100,8
20210622,2021-06-22T10:00:00Z,1215,Ambient,A6b,100,2
20210622,2021-06-22T10:00:00Z,1215,High,H1a,100,5
20210622,2021-06-22T10:00:00Z,1215,High,H1b,100,3
20210622,2021-06-22T10:00:00Z,1215,High,H2a,100,4
20210622,2021-06-22T10:00:00Z,1215,High,H2b,100,2
20210622,2021-06-22T10:00:00Z,1215,High,H3a,100,1
20210622,2021-06-22T10:00:00Z,1215,High,H3b,100,5
20210622,2021-06-22T10:00:00Z,1215,High,H4a,100,6
20210622,2021-06-22T10:00:00Z,1215,High,H4b,100,6
20210622,2021-06-22T10:00:00Z,1215,High,H5a,100,7
20210622,2021-06-22T10:00:00Z,1215,High,H5b,100,1
20210622,2021-06-22T10:00:00Z,1215,High,H6a,100,0
20210622,2021-06-22T10:00:00Z,1215,High,H6a,100,3
20210623,2021-06-23T10:00:00Z,1615,Ambient,A1a,100,6
20210623,2021-06-23T10:00:00Z,1615,Ambient,A1b,100,5
20210623,2021-06-23T10:00:00Z,1615,Ambient,A2a,100,3
20210623,2021-06-23T10:00:00Z,1615,Ambient,A2b,100,5
20210623,2021-06-23T10:00:00Z,1615,Ambient,A3a,100,2
20210623,2021-06-23T10:00:00Z,1615,Ambient,A3b,100,9
20210623,2021-06-23T10:00:00Z,1615,Ambient,A4a,100,7
20210623,2021-06-23T10:00:00Z,1615,Ambient,A4b,100,6
20210623,2021-06-23T10:00:00Z,1615,Ambient,A5a,100,3
20210623,2021-06-23T10:00:00Z,1615,Ambient,A5b,100,5
20210623,2021-06-23T10:00:00Z,1615,Ambient,A6a,100,8
20210623,2021-06-23T10:00:00Z,1615,Ambient,A6b,100,5
20210623,2021-06-23T10:00:00Z,1615,High,H1a,100,8
20210623,2021-06-23T10:00:00Z,1615,High,H1b,100,7
20210623,2021-06-23T10:00:00Z,1615,High,H2a,100,4
20210623,2021-06-23T10:00:00Z,1615,High,H2b,100,2
20210623,2021-06-23T10:00:00Z,1615,High,H3a,100,4
20210623,2021-06-23T10:00:00Z,1615,High,H3b,100,5
20210623,2021-06-23T10:00:00Z,1615,High,H4a,100,6
20210623,2021-06-23T10:00:00Z,1615,High,H4b,100,9
20210623,2021-06-23T10:00:00Z,1615,High,H5a,100,10
20210623,2021-06-23T10:00:00Z,1615,High,H5b,100,1
20210623,2021-06-23T10:00:00Z,1615,High,H6a,100,0
20210623,2021-06-23T10:00:00Z,1615,High,H6a,100,3
20210624,2021-06-24T10:00:00Z,1900,Ambient,A1a,100,6
20210624,2021-06-24T10:00:00Z,1900,Ambient,A1b,100,6
20210624,2021-06-24T10:00:00Z,1900,Ambient,A2a,100,7
20210624,2021-06-24T10:00:00Z,1900,Ambient,A2b,100,8
20210624,2021-06-24T10:00:00Z,1900,Ambient,A3a,100,11
20210624,2021-06-24T10:00:00Z,1900,Ambient,A3b,100,11
20210624,2021-06-24T10:00:00Z,1900,Ambient,A4a,100,13
20210624,2021-06-24T10:00:00Z,1900,Ambient,A4b,100,6
20210624,2021-06-24T10:00:00Z,1900,Ambient,A5a,100,10
20210624,2021-06-24T10:00:00Z,1900,Ambient,A5b,100,9
20210624,2021-06-24T10:00:00Z,1900,Ambient,A6a,100,9
20210624,2021-06-24T10:00:00Z,1900,Ambient,A6b,100,12
20210624,2021-06-24T10:00:00Z,1900,High,H1a,100,15
20210624,2021-06-24T10:00:00Z,1900,High,H1b,100,13
20210624,2021-06-24T10:00:00Z,1900,High,H2a,100,4
20210624,2021-06-24T10:00:00Z,1900,High,H2b,100,2
20210624,2021-06-24T10:00:00Z,1900,High,H3a,100,22
20210624,2021-06-24T10:00:00Z,1900,High,H3b,100,9
20210624,2021-06-24T10:00:00Z,1900,High,H4a,100,9
20210624,2021-06-24T10:00:00Z,1900,High,H4b,100,12
20210624,2021-06-24T10:00:00Z,1900,High,H5a,100,16
20210624,2021-06-24T10:00:00Z,1900,High,H5b,100,8
20210624,2021-06-24T10:00:00Z,1900,High,H6a,100,0
20210624,2021-06-24T10:00:00Z,1900,High,H6a,100,3
20210626,2021-06-26T10:00:00Z,1100,Ambient,A1a,100,10
20210626,2021-06-26T10:00:00Z,1100,Ambient,A1b,100,8
20210626,2021-06-26T10:00:00Z,1100,Ambient,A2a,100,17
20210626,2021-06-26T10:00:00Z,1100,Ambient,A2b,100,7
20210626,2021-06-26T10:00:00Z,1100,Ambient,A3a,100,18
20210626,2021-06-26T10:00:00Z,1100,Ambient,A3b,100,14
20210626,2021-06-26T10:00:00Z,1100,Ambient,A4a,100,16
20210626,2021-06-26T10:00:00Z,1100,Ambient,A4b,100,6
20210626,2021-06-26T10:00:00Z,1100,Ambient,A5a,100,10
20210626,2021-06-26T10:00:00Z,1100,Ambient,A5b,100,9
20210626,2021-06-26T10:00:00Z,1100,Ambient,A6a,100,11
20210626,2021-06-26T10:00:00Z,1100,Ambient,A6b,100,18
20210626,2021-06-26T10:00:00Z,1100,High,H1a,100,15
20210626,2021-06-26T10:00:00Z,1100,High,H1b,100,13
20210626,2021-06-26T10:00:00Z,1100,High,H2a,100,4
20210626,2021-06-26T10:00:00Z,1100,High,H2b,100,3
20210626,2021-06-26T10:00:00Z,1100,High,H3a,100,23
20210626,2021-06-26T10:00:00Z,1100,High,H3b,100,13
20210626,2021-06-26T10:00:00Z,1100,High,H4a,100,9
20210626,2021-06-26T10:00:00Z,1100,High,H4b,100,12
20210626,2021-06-26T10:00:00Z,1100,High,H5a,100,16
20210626,2021-06-26T10:00:00Z,1100,High,H5b,100,8
20210626,2021-06-26T10:00:00Z,1100,High,H6a,100,1
20210626,2021-06-26T10:00:00Z,1100,High,H6a,100,4
