Date,Sample.ID,Chamber.ID,Plate,Temperature,Type,Salinity,Run,Volume,Org.Number,Notes
20211207,20,D2,710,34,Sample,34,8,0.00008,5,
20211207,3,A3,710,34,Sample,34,8,0.00008,5,
20211207,9,B3,710,34,Sample,34,8,0.00008,5,
20211207,15,C3,710,34,Sample,34,8,0.00008,5,
20211207,21,D3,710,34,Blank,34,8,0.00008,NA,
20211207,4,A4,710,34,Blank,34,8,0.00008,NA,
20211207,10,B4,710,34,Sample,34,8,0.00008,5,
20211207,16,C4,710,34,Sample,34,8,0.00008,5,
20211207,22,D4,710,34,Sample,34,8,0.00008,5,
20211207,5,A5,710,34,Sample,34,8,0.00008,5,
20211207,11,B5,710,34,NA,34,8,0.00008,NA,
20211207,17,C5,710,34,Sample,34,8,0.00008,5,
20211207,23,D5,710,34,Sample,34,8,0.00008,5,
20211207,6,A6,710,34,Sample,34,8,0.00008,5,
20211207,18,C6,710,34,Sample,34,8,0.00008,5,
20211207,24,D6,710,34,Sample,34,8,0.00008,5,
20211207,1,A1,641,27,Sample,34,9,0.00008,5,
20211207,7,B1,641,27,Blank,34,9,0.00008,NA,
20211207,13,C1,641,27,Sample,34,9,0.00008,5,
20211207,19,D1,641,27,Sample,34,9,0.00008,5,
20211207,2,A2,641,27,Sample,34,9,0.00008,5,
20211207,8,B2,641,27,Sample,34,9,0.00008,5,
20211207,14,C2,641,27,Sample,34,9,0.00008,5,
20211207,20,D2,641,27,Blank,34,9,0.00008,NA,
20211207,3,A3,641,27,Sample,34,9,0.00008,5,
20211207,9,B3,641,27,Blank,34,9,0.00008,NA,
20211207,15,C3,641,27,Sample,34,9,0.00008,5,
20211207,21,D3,641,27,Sample,34,9,0.00008,5,
20211207,4,A4,641,27,Sample,34,9,0.00008,5,
20211207,10,B4,641,27,Sample,34,9,0.00008,5,
20211207,16,C4,641,27,Sample,34,9,0.00008,4,
20211207,22,D4,641,27,Sample,34,9,0.00008,5,
20211207,5,A5,641,27,Sample,34,9,0.00008,5,
20211207,11,B5,641,27,Sample,34,9,0.00008,5,
20211207,17,C5,641,27,Sample,34,9,0.00008,5,
20211207,23,D5,641,27,Sample,34,9,0.00008,5,
20211207,6,A6,641,27,NA,34,9,0.00008,NA,
20211207,18,C6,641,27,Sample,34,9,0.00008,5,
20211207,24,D6,641,27,Sample,34,9,0.00008,5,
20211207,1,A1,710,34,Sample,34,A,0.00008,5,
20211207,7,B1,710,34,Sample,34,A,0.00008,4,
20211207,13,C1,710,34,Sample,34,A,0.00008,5,
20211207,19,D1,710,34,Blank,34,A,0.00008,NA,
20211207,2,A2,710,34,Sample,34,A,0.00008,5,
20211207,8,B2,710,34,Blank,34,A,0.00008,NA,
20211207,14,C2,710,34,Sample,34,A,0.00008,5,
20211207,20,D2,710,34,Sample,34,A,0.00008,5,
20211207,3,A3,710,34,Sample,34,A,0.00008,5,
20211207,9,B3,710,34,Sample,34,A,0.00008,5,
20211207,15,C3,710,34,Sample,34,A,0.00008,5,
20211207,21,D3,710,34,Sample,34,A,0.00008,5,
20211207,4,A4,710,34,Sample,34,A,0.00008,5,
20211207,10,B4,710,34,Sample,34,A,0.00008,5,
20211207,16,C4,710,34,Sample,34,A,0.00008,5,
20211207,22,D4,710,34,Blank,34,A,0.00008,NA,
20211207,5,A5,710,34,Sample,34,A,0.00008,5,
20211207,11,B5,710,34,NA,34,A,0.00008,NA,
20211207,17,C5,710,34,Sample,34,A,0.00008,4,
20211207,23,D5,710,34,Sample,34,A,0.00008,5,
20211207,6,A6,710,34,Sample,34,A,0.00008,5,
20211207,18,C6,710,34,Sample,34,A,0.00008,5,
20211207,24,D6,710,34,Sample,34,A,0.00008,5,
